RecordID,Season,Team,Conference,Overall Seed,Bid Type,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,Conf.Record,Non-ConferenceRecord,RoadWL,NETSOS,NETNonConfSOS,Quadrant1,Quadrant2,Quadrant3,Quadrant4
2020-21-Lafayette,2020-21,Lafayette,Patriot,,,198,198,216,201,6-Sep,6-Sep,0-0,3-Mar,316,,0-0,0-0,2-May,4-Apr
2020-21-Richmond,2020-21,Richmond,Atlantic 10,,,68,68,73,110,8-Dec,6-Jun,2-Jun,3-May,83,61,4-Mar,Feb-00,2-Jun,2-Jan
2020-21-NewMexico,2020-21,New Mexico,Mountain West,,,302,302,167,174,16-Apr,16-Feb,Feb-00,8-Mar,134,293,0-5,0-2,7-Jan,2-Mar
2020-21-CharlestonSo.,2020-21,Charleston So.,Big South,,,333,333,247,215,18-Feb,15-Feb,0-3,8-Feb,276,196,0-1,0-2,0-7,8-Feb
2020-21-MiddleTenn.,2020-21,Middle Tenn.,CUSA,,,303,303,150,165,18-Apr,14-Mar,4-Jan,0-9,172,251,0-0,0-7,0-7,4-Apr
2020-21-StonyBrook,2020-21,Stony Brook,America East,,,226,226,204,196,14-Aug,10-Jul,4-Jan,8-Apr,255,178,0-1,0-3,5-Jan,5-Jul
2020-21-IdahoSt.,2020-21,Idaho St.,Big Sky,,,272,272,312,234,11-Aug,7-Aug,0-4,5-May,302,208,0-0,2-Jan,0-2,7-Jul
2020-21-SamHouston,2020-21,Sam Houston,Southland,,,171,171,240,211,15-9,13-4,5-Feb,6-Jul,153,15,0-6,Jan-00,2-Jan,13-1
2020-21-YoungstownSt.,2020-21,Youngstown St.,Horizon,,,254,254,318,235,12-Nov,12-Oct,Jan-00,7-May,309,320,1-Jan,0-0,3-Jan,8-Sep
2020-21-UNLV,2020-21,UNLV,Mountain West,,,179,179,124,152,15-Oct,11-Sep,4-Jan,7-Mar,96,35,0-7,5-Jan,1-Jan,2-Aug
2020-21-KansasCity,2020-21,Kansas City,Summit League,,,251,251,213,200,13-Jul,8-Jul,0-5,8-Feb,195,67,0-2,0-3,3-Jan,5-Jun
2020-21-IndianaSt.,2020-21,Indiana St.,MVC,,,120,121,121,151,14-10,8-Dec,2-Feb,6-May,119,49,4-Jan,0-4,2-Mar,Oct-00
2020-21-VCU,2020-21,VCU,Atlantic 10,39,AL,37,36,72,108,19-7,5-Dec,2-Jul,3-May,81,104,5-Feb,Jul-00,2-Jun,Apr-00
2020-21-Kansas,2020-21,Kansas,Big 12,12,AL,11,11,35,88,19-8,13-6,2-Jun,6-Apr,16,45,8-Jul,Feb-00,May-00,May-00
2020-21-IowaSt.,2020-21,Iowa St.,Big 12,,,232,232,19,74,22-Feb,0-19,3-Feb,0-11,3,101,0-15,0-2,0-4,1-Feb
2020-21-Louisiana,2020-21,Louisiana,Sun Belt,,,195,195,247,215,15-9,8-Nov,1-Apr,4-Jun,270,143,0-1,0-0,3-May,5-Oct
2020-21-WashingtonSt.,2020-21,Washington St.,Pac-12,,,101,101,86,124,14-13,13-Jul,Jul-00,6-Mar,91,315,6-Jan,4-Jan,2-May,1-Jul
2020-21-SouthDakota,2020-21,South Dakota,Summit League,,,178,178,242,213,13-11,5-Dec,6-Jan,4-May,222,90,0-2,3-Jan,2-Feb,4-Oct
2020-21-Evansville,2020-21,Evansville,MVC,,,233,233,141,161,16-Sep,12-Jul,4-Feb,10-Jan,136,248,0-5,0-1,7-Feb,3-Jul
2020-21-Valparaiso,2020-21,Valparaiso,MVC,,,229,228,130,155,18-Aug,12-Jul,6-Jan,11-Apr,130,132,0-4,3-Jan,8-Mar,3-Apr
2020-21-Akron,2020-21,Akron,MAC,,,106,107,155,170,13-8,13-7,0-1,5-May,151,2,0-2,3-Feb,1-Jun,2-May
2020-21-UIW,2020-21,UIW,Southland,,,330,330,332,245,14-May,10-May,0-4,6-Mar,267,93,0-2,0-1,0-3,8-May
2020-21-Idaho,2020-21,Idaho,Big Sky,,,344,344,226,204,21-Jan,18-Jan,0-3,0-11,259,97,0-0,0-5,0-4,12-Jan
2020-21-SacramentoSt.,2020-21,Sacramento St.,Big Sky,,,259,260,222,203,12-Jun,10-May,2-Jan,8-Mar,228,179,0-1,0-4,3-Jan,4-May
2020-21-Omaha,2020-21,Omaha,Summit League,,,324,324,207,197,20-May,12-Mar,8-Feb,12-Mar,156,48,0-4,0-1,0-9,6-May
2020-21-Wyoming,2020-21,Wyoming,Mountain West,,,161,162,174,179,14-11,10-Aug,1-Jun,5-Apr,128,295,0-4,4-Jan,1-Apr,2-Sep
2020-21-DelawareSt.,2020-21,Delaware St.,MEAC,,,340,340,207,197,16-Jan,11-Jan,0-5,0-10,241,172,0-1,0-0,0-7,8-Jan
2020-21-Lipscomb,2020-21,Lipscomb,ASUN,,,243,243,304,232,12-Nov,7-Sep,5-Feb,7-Apr,275,170,0-1,0-1,3-Mar,7-Aug
2020-21-UTEP,2020-21,UTEP,CUSA,,,148,148,119,150,12-Sep,9-Aug,3-Jan,9-Feb,118,9,0-5,2-Jan,3-Jan,2-Jul
2020-21-AustinPeay,2020-21,Austin Peay,OVC,,,245,245,320,237,13-Dec,11-Oct,2-Feb,6-Apr,323,253,0-0,0-2,6-Feb,5-Oct
2020-21-Illinois,2020-21,Illinois,Big Ten,3,AQ,3,3,8,66,23-6,19-4,2-Apr,3-Sep,7,36,5-Dec,1-May,Apr-00,Feb-00
2020-21-UCIrvine,2020-21,UC Irvine,Big West,,,104,104,174,179,16-9,5-Dec,4-Apr,6-Jun,154,106,0-2,3-Mar,3-Mar,1-Oct
2020-21-Nicholls,2020-21,Nicholls,Southland,,,197,197,337,253,17-7,15-3,4-Feb,5-Jul,285,110,0-2,0-1,0-3,17-1
2020-21-NorthwesternSt.,2020-21,Northwestern St.,Southland,,,311,312,276,220,18-Oct,8-Oct,0-10,12-Apr,163,21,0-3,0-4,0-5,6-Oct
2020-21-NorthernAriz.,2020-21,Northern Ariz.,Big Sky,,,322,322,185,185,16-Jun,11-May,5-Jan,7-Apr,162,30,0-3,0-3,6-Jan,4-May
2020-21-Pepperdine,2020-21,Pepperdine,WCC,,,110,110,81,115,12-Oct,7-Aug,5-Feb,5-Mar,54,105,7-Jan,1-Feb,3-Mar,1-Apr
2020-21-SoutheastMo.St.,2020-21,Southeast Mo. St.,OVC,,,276,276,308,233,16-Nov,12-Sep,4-Feb,9-Apr,325,285,0-0,0-3,6-Jan,7-Oct
2020-21-UIC,2020-21,UIC,Horizon,,,287,287,312,234,13-Sep,11-Jun,2-Mar,9-Feb,304,224,0-1,0-2,0-3,7-Sep
2020-21-Denver,2020-21,Denver,Summit League,,,341,341,319,236,19-Jan,13-Jan,0-6,0-9,333,296,0-0,0-0,0-9,10-Jan
2020-21-ArizonaSt.,2020-21,Arizona St.,Pac-12,,,118,119,44,92,14-Nov,11-Aug,3-Mar,6-Feb,55,79,0-8,5-Jan,1-Jun,Apr-00
2020-21-Memphis,2020-21,Memphis,The American,,,52,52,99,132,16-8,5-Dec,3-Apr,3-Apr,112,158,0-4,3-Apr,1-Jun,Jun-00
2020-21-Towson,2020-21,Towson,CAA,,,290,290,161,172,14-Apr,10-Mar,4-Jan,0-6,189,91,0-1,0-2,9-Jan,2-Mar
2020-21-LoyolaChicago,2020-21,Loyola Chicago,MVC,30,AQ,10,10,146,164,22-4,19-2,2-Mar,3-Aug,143,102,2-Feb,2-Apr,Apr-00,Dec-00
2020-21-SMU,2020-21,SMU,The American,,,65,65,108,139,5-Nov,5-Jul,Apr-00,2-May,102,265,0-3,Apr-00,2-Feb,May-00
2020-21-NorthDakota,2020-21,North Dakota,Summit League,,,297,297,235,208,17-Sep,9-Aug,8-Jan,11-Mar,245,194,0-1,0-3,7-Feb,6-Jul
2020-21-Nevada,2020-21,Nevada,Mountain West,,,96,96,111,141,15-10,8-Nov,2-Apr,7-Feb,107,225,5-Jan,1-Apr,3-Feb,1-Aug
2020-21-UMassLowell,2020-21,UMass Lowell,America East,,,211,211,197,194,12-Nov,9-Oct,3-Jan,6-Jun,219,52,0-1,0-1,6-Jun,4-May
2020-21-SeattleU,2020-21,Seattle U,WAC,,,248,248,279,221,11-Aug,6-May,5-Mar,6-Mar,289,267,0-1,0-0,4-Jan,6-Jul
2020-21-ETSU,2020-21,ETSU,SoCon,,,125,125,109,140,12-Nov,8-Sep,4-Feb,5-Mar,139,127,0-2,3-Mar,6-Apr,1-Apr
2020-21-Fla.Atlantic,2020-21,Fla. Atlantic,CUSA,,,183,182,247,215,10-Sep,6-Aug,4-Jan,7-Apr,279,275,0-0,0-3,5-Jan,2-Aug
2020-21-SacredHeart,2020-21,Sacred Heart,NEC,,,262,262,238,209,9-Sep,8-Sep,0-1,6-May,253,4,0-1,0-1,4-Apr,3-May
2020-21-WichitaSt.,2020-21,Wichita St.,The American,45,AL,72,72,81,115,14-5,3-Dec,2-Feb,2-May,93,41,3-Feb,1-Feb,1-Jun,Apr-00
2020-21-SoutheasternLa.,2020-21,Southeastern La.,Southland,,,329,329,332,245,18-Aug,11-Jun,7-Feb,13-Apr,261,164,0-2,0-2,0-3,11-Aug
2020-21-TexasSouthern,2020-21,Texas Southern,SWAC,66,AQ,208,208,324,240,15-8,13-3,5-Feb,6-May,199,26,0-4,0-1,1-Jan,14-2
2020-21-Samford,2020-21,Samford,SoCon,,,267,267,132,156,13-Apr,10-Feb,3-Feb,7-Feb,158,233,0-1,3-Jan,7-Jan,2-Feb
2020-21-Toledo,2020-21,Toledo,MAC,,,67,67,177,180,21-8,16-5,3-May,5-Jul,178,122,0-2,2-Mar,3-Jul,1-Nov
2020-21-MorganSt.,2020-21,Morgan St.,MEAC,,,185,185,312,234,7-Dec,6-Sep,1-Mar,2-Jul,330,232,0-0,0-0,3-Apr,4-Aug
2020-21-Arizona,2020-21,Arizona,Pac-12,,,44,44,75,112,17-9,9-Nov,Jun-00,4-May,84,300,4-Feb,4-Mar,1-Jul,May-00
2020-21-CSUBakersfield,2020-21,CSU Bakersfield,Big West,,,153,153,197,194,13-11,8-Sep,3-Apr,6-Jun,176,184,0-3,3-Mar,1-Feb,4-Aug
2020-21-FloridaSt.,2020-21,Florida St.,ACC,13,AL,25,24,40,90,16-6,5-Dec,1-Apr,4-Mar,57,195,4-Mar,1-Jul,1-Feb,Apr-00
2020-21-Maryland,2020-21,Maryland,Big Ten,36,AL,35,35,5,65,15-13,12-Oct,1-May,6-Apr,12,207,10-Apr,3-Mar,Jun-00,Feb-00
2020-21-LSU,2020-21,LSU,SEC,29,AL,28,28,33,87,18-9,13-7,2-May,6-Apr,28,161,8-May,1-Mar,Jun-00,Apr-00
2020-21-Tulane,2020-21,Tulane,The American,,,168,168,115,145,13-Oct,13-May,May-00,6-Mar,109,327,0-5,4-Jan,3-Mar,1-Jun
2020-21-Tulsa,2020-21,Tulsa,The American,,,134,134,92,127,12-Sep,10-Jul,2-Feb,4-Apr,111,289,2-Feb,3-Feb,6-Feb,1-Mar
2020-21-SantaClara,2020-21,Santa Clara,WCC,,,144,144,127,154,8-Nov,6-Jun,2-May,3-Apr,121,169,2-Jan,2-Jan,3-Mar,1-Jun
2020-21-Niagara,2020-21,Niagara,MAAC,,,222,222,247,215,11-Sep,10-Aug,1-Jan,7-Mar,292,50,0-1,0-0,5-Mar,5-Jun
2020-21-SouthDakotaSt.,2020-21,South Dakota St.,Summit League,,,123,124,213,200,15-7,4-Oct,3-May,2-Apr,214,139,1-Jan,0-1,4-May,1-Sep
2020-21-WesternCaro.,2020-21,Western Caro.,SoCon,,,234,234,146,164,16-Sep,14-Apr,2-May,9-Apr,177,260,0-2,4-Jan,7-Apr,3-Apr
2020-21-NorthTexas,2020-21,North Texas,CUSA,52,AQ,59,61,121,151,16-9,13-5,4-Mar,6-May,120,34,0-3,2-Mar,4-Jun,Jul-00
2020-21-SouthernMiss.,2020-21,Southern Miss.,CUSA,,,269,269,178,181,17-Jun,14-Apr,3-Feb,9-Feb,197,307,0-0,0-5,8-Jan,4-May
2020-21-Dayton,2020-21,Dayton,Atlantic 10,,,80,79,86,124,14-9,8-Oct,1-Apr,6-Apr,100,199,2-Mar,4-Mar,1-May,2-Mar
2020-21-EasternMich.,2020-21,Eastern Mich.,MAC,,,315,315,142,162,12-Mar,11-Mar,0-1,8-Jan,138,18,0-2,0-5,2-Jan,3-Feb
2020-21-Miami(OH),2020-21,Miami (OH),MAC,,,177,177,178,181,11-Nov,9-Sep,2-Feb,6-May,174,229,0-2,0-5,4-Feb,Sep-00
2020-21-LaSalle,2020-21,La Salle,Atlantic 10,,,203,204,97,131,16-Aug,12-Jun,4-Feb,11-Mar,98,99,5-Jan,5-Mar,4-Jan,2-Mar
2020-21-Massachusetts,2020-21,Massachusetts,Atlantic 10,,,113,114,118,149,7-Aug,5-Jul,2-Jan,3-Mar,142,245,0-3,1-Jan,3-Mar,Apr-00
2020-21-UtahSt.,2020-21,Utah St.,Mountain West,42,AL,39,39,126,153,19-8,17-5,3-Feb,3-Jun,114,111,5-Feb,1-Feb,2-Jul,Aug-00
2020-21-NCState,2020-21,NC State,ACC,,,73,73,78,113,13-10,9-Sep,1-Apr,5-May,69,243,7-Jan,2-Mar,1-Mar,Jun-00
2020-21-CSUN,2020-21,CSUN,Big West,,,279,279,190,191,13-Aug,10-May,3-Mar,4-Apr,248,252,0-0,2-Jan,5-Jan,6-Jun
2020-21-SouthFla.,2020-21,South Fla.,The American,,,205,205,84,117,13-Aug,11-May,2-Mar,4-Mar,94,206,0-5,4-Jan,2-May,2-Feb
2020-21-GeorgiaSt.,2020-21,Georgia St.,Sun Belt,,,128,128,200,195,14-6,5-Oct,1-Apr,4-May,244,148,Jan-00,0-1,3-Jul,2-Jun
2020-21-Clemson,2020-21,Clemson,ACC,27,AL,41,41,23,79,16-7,7-Oct,Jun-00,5-Feb,32,37,6-Mar,Jul-00,1-May,Jan-00
2020-21-Columbia,2020-21,Columbia,Ivy League,,,,,,,0-0,0-0,0-0,0-0,,,0-0,0-0,0-0,0-0
2020-21-OldDominion,2020-21,Old Dominion,CUSA,,,133,133,150,165,14-8,6-Nov,2-Mar,6-Jun,141,80,0-2,3-Feb,2-May,1-Jul
2020-21-Oakland,2020-21,Oakland,Horizon,,,247,247,181,182,18-Dec,11-Dec,0-7,11-Jun,155,8,0-5,2-Jan,5-Mar,6-Aug
2020-21-Binghamton,2020-21,Binghamton,America East,,,298,298,212,199,14-Apr,11-Apr,0-3,5-Mar,296,313,0-0,0-0,7-Jan,7-Mar
2020-21-Alabama,2020-21,Alabama,SEC,5,AQ,7,7,11,69,24-6,19-2,4-May,3-Jul,33,108,4-Aug,1-Sep,1-Jul,0-0
2020-21-Gonzaga,2020-21,Gonzaga,WCC,1,AQ,1,1,95,130,26-0,17-0,Sep-00,Jul-00,79,46,Aug-00,Jun-00,May-00,Jul-00
2020-21-CentralArk.,2020-21,Central Ark.,Southland,,,321,320,181,182,19-Apr,12-Apr,0-7,14-Jan,123,7,0-6,1-Jan,0-5,7-Mar
2020-21-LamarUniversity,2020-21,Lamar University,Southland,,,306,307,291,225,18-Oct,11-Aug,7-Feb,11-Mar,226,191,0-2,0-3,5-Feb,8-Aug
2020-21-N.C.Central,2020-21,N.C. Central,MEAC,,,325,325,312,234,9-Apr,6-Mar,3-Jan,0-6,188,20,0-2,0-0,0-2,5-Apr
2020-21-Marshall,2020-21,Marshall,CUSA,,,88,88,161,172,15-7,6-Sep,1-Jun,3-Jun,169,228,Jan-00,5-Mar,2-Feb,Sep-00
2020-21-Radford,2020-21,Radford,Big South,,,227,227,279,221,13-12,13-7,0-5,6-Jun,272,116,0-1,0-3,4-Mar,4-Oct
2020-21-Gardner-Webb,2020-21,Gardner-Webb,Big South,,,191,190,270,219,15-Nov,11-Oct,4-Jan,11-Apr,208,47,0-3,0-3,1-Mar,8-Aug
2020-21-AirForce,2020-21,Air Force,Mountain West,,,319,319,132,156,20-May,18-Mar,2-Feb,9-Jan,113,221,0-7,3-Jan,0-3,7-Apr
2020-21-SouthernIll.,2020-21,Southern Ill.,MVC,,,214,214,142,162,14-Nov,14-Jun,May-00,8-Mar,127,294,0-5,3-Jan,2-Feb,4-Aug
2020-21-UTSA,2020-21,UTSA,CUSA,,,169,170,150,165,11-Nov,8-Oct,3-Jan,8-Feb,161,121,0-1,5-Jan,4-Feb,1-Aug
2020-21-UAB,2020-21,UAB,CUSA,,,83,83,200,195,20-7,14-6,1-Jun,4-Jun,211,306,Feb-00,3-Jan,4-Jun,Nov-00
2020-21-UtahValley,2020-21,Utah Valley,WAC,,,216,216,187,190,11-Sep,5-Sep,0-6,5-Feb,184,57,0-2,3-Jan,3-Jan,3-Jul
2020-21-Iona,2020-21,Iona,MAAC,62,AQ,138,138,293,227,5-Dec,3-Oct,2-Feb,3-Apr,315,198,0-1,0-0,Feb-00,4-Oct
2020-21-Drake,2020-21,Drake,MVC,48,AL,45,45,184,184,23-4,16-4,Jul-00,2-Sep,175,305,2-Jan,May-00,2-Jun,Nov-00
2020-21-Missouri,2020-21,Missouri,SEC,33,AL,47,47,13,70,16-9,9-Sep,Jul-00,4-Jun,22,71,6-Jul,3-Feb,Jun-00,Jan-00
2020-21-Hawaii,2020-21,Hawaii,Big West,,,199,199,195,193,10-Sep,10-Sep,0-0,4-Apr,234,,0-0,3-Jan,5-Feb,2-Jun
2020-21-SIUE,2020-21,SIUE,OVC,,,318,318,264,218,17-Aug,13-Jul,4-Jan,7-Jun,227,123,0-2,2-Jan,0-6,7-Jul
2020-21-Florida,2020-21,Florida,SEC,28,AL,31,31,20,75,14-9,8-Oct,1-Apr,5-May,24,51,5-May,3-Mar,1-May,Jan-00
2020-21-Manhattan,2020-21,Manhattan,MAAC,,,281,280,288,223,13-Jul,13-Jun,Jan-00,6-Mar,322,328,0-0,0-0,5-Jan,8-Jun
2021-22-KennesawSt.,2021-22,Kennesaw St.,ASUN,,,224,224,198,194,18-Sep,10-Aug,8-Jan,12-Mar,199,39,0-3,0-3,7-Jan,5-Aug
2021-22-TexasA&M,2021-22,Texas A&M,SEC,,,43,42,63,113,22-12,10-Dec,2-Oct,5-May,40,262,10-Apr,May-00,2-May,Aug-00
2021-22-LoyolaMaryland,2021-22,Loyola Maryland,Patriot,,,262,262,345,251,13-16,11-Aug,5-May,12-Mar,335,273,0-1,0-2,4-Feb,9-Nov
2021-22-UMES,2021-22,UMES,MEAC,,,302,302,319,239,15-Aug,9-Jun,6-Feb,10-May,299,120,0-1,0-2,6-Jan,6-Jul
2021-22-MississippiSt.,2021-22,Mississippi St.,SEC,,,57,57,36,102,18-15,11-Sep,4-Sep,9-Jan,42,177,11-Feb,2-Mar,2-Aug,May-00
2021-22-Pacific,2021-22,Pacific,WCC,,,297,297,141,172,22-Jun,12-Mar,10-Mar,0-13,140,309,0-5,1-Jan,8-Jan,8-Apr
2021-22-Texas,2021-22,Texas,Big 12,23,AL,16,17,49,107,21-11,9-Oct,2-Nov,7-Apr,17,170,10-May,1-May,Mar-00,Aug-00
2021-22-Dayton,2021-22,Dayton,Atlantic 10,,,58,58,118,155,23-10,15-5,5-Aug,5-Jun,117,128,2-Mar,4-May,1-Jun,3-Sep
2021-22-UMassLowell,2021-22,UMass Lowell,America East,,,248,248,326,241,16-Dec,12-Jul,4-May,9-Jun,303,254,1-Jan,0-2,5-Feb,8-Sep
2021-22-Longwood,2021-22,Longwood,Big South,55,AQ,125,126,340,249,22-6,18-1,5-Apr,5-Jul,348,270,0-1,0-1,2-Apr,18-2
2021-22-Virginia,2021-22,Virginia,ACC,,,83,83,80,122,19-13,13-9,4-Jun,6-Jun,64,133,7-Apr,1-Mar,4-May,1-Jul
2021-22-SoutheasternLa.,2021-22,Southeastern La.,Southland,,,257,257,315,238,15-14,5-Nov,9-Apr,10-May,252,118,0-3,0-1,3-Mar,7-Dec
2021-22-Penn,2021-22,Penn,Ivy League,,,210,210,144,173,16-Dec,6-Sep,10-Mar,10-May,135,33,0-4,0-5,6-Apr,1-Aug
2021-22-NorthFlorida,2021-22,North Florida,ASUN,,,276,276,151,176,20-Aug,10-Jul,10-Jan,15-Apr,111,3,0-5,0-5,2-Mar,8-May
2021-22-MontanaSt.,2021-22,Montana St.,Big Sky,58,AQ,120,120,315,238,25-7,19-4,3-Jun,6-Sep,341,243,0-2,0-0,3-May,20-2
2021-22-Akron,2021-22,Akron,MAC,54,AQ,127,127,261,217,22-9,17-6,3-May,4-Aug,282,289,0-2,1-Feb,4-Apr,16-2
2021-22-OldDominion,2021-22,Old Dominion,CUSA,,,203,203,141,172,19-Dec,11-Aug,8-Apr,11-Mar,196,286,0-1,6-Feb,8-Mar,4-Jul
2021-22-UTEP,2021-22,UTEP,CUSA,,,164,164,163,179,17-13,8-Dec,5-May,6-Jul,145,172,0-3,3-Feb,5-Apr,2-Nov
2021-22-RhodeIsland,2021-22,Rhode Island,Atlantic 10,,,140,140,124,162,14-16,13-Jun,3-Aug,9-Mar,141,321,0-4,4-Jan,6-May,2-Aug
2021-22-MississippiVal.,2021-22,Mississippi Val.,SWAC,,,355,355,319,239,26-Feb,16-Feb,0-10,15-Feb,276,87,0-3,0-2,0-4,17-Feb
2021-22-Nebraska,2021-22,Nebraska,Big Ten,,,141,141,21,93,22-Oct,17-Apr,5-Jun,8-Mar,32,257,10-Feb,7-Jan,4-Feb,1-May
2021-22-UMBC,2021-22,UMBC,America East,,,235,235,309,236,17-14,13-8,6-Apr,10-Jun,298,307,0-2,0-3,5-Jan,16-4
2021-22-Rider,2021-22,Rider,MAAC,,,243,243,216,202,13-19,13-Oct,6-Mar,11-Apr,265,291,0-0,4-Feb,7-Apr,8-Jul
2021-22-Michigan,2021-22,Michigan,Big Ten,42,AL,34,34,3,71,17-14,10-Nov,4-Jun,7-May,7,31,10-May,3-Mar,1-Jun,Mar-00
2021-22-HoustonChristian,2021-22,Houston Christian,Southland,,,337,337,332,245,18-Jul,9-Jul,0-9,8-Mar,287,113,0-3,0-0,0-2,13-Jul
2021-22-Campbell,2021-22,Campbell,Big South,,,220,220,303,234,13-13,9-Sep,4-Apr,8-May,294,160,0-2,0-1,0-4,13-6
2021-22-NCState,2021-22,NC State,ACC,,,148,148,64,114,21-Nov,17-Apr,4-Jul,7-Mar,76,217,7-Jan,0-7,6-Jun,1-Apr
2021-22-CSUN,2021-22,CSUN,Big West,,,324,324,171,184,22-Jun,14-Mar,8-Mar,11-Mar,205,131,0-4,0-0,11-Jan,7-May
2021-22-OhioSt.,2021-22,Ohio St.,Big Ten,28,AL,26,26,13,86,19-11,9-Dec,2-Jul,6-May,26,51,5-May,5-May,1-Jun,Mar-00
2021-22-KansasSt.,2021-22,Kansas St.,Big 12,,,74,74,32,98,14-17,13-Jun,4-Aug,7-May,5,150,10-Apr,7-Feb,Feb-00,Jun-00
2021-22-UCSanDiego,2021-22,UC San Diego,Big West,,,267,267,250,213,16-Nov,0-1,15-Nov,11-Apr,289,338,0-1,0-1,8-Mar,6-Aug
2021-22-UCLA,2021-22,UCLA,Pac-12,13,AL,10,10,36,102,25-7,17-6,1-Aug,4-Aug,44,30,4-May,2-Aug,1-Aug,Apr-00
2021-22-Omaha,2021-22,Omaha,Summit League,,,346,346,185,190,25-Apr,15-Apr,0-10,0-15,160,45,0-4,0-3,0-8,10-Apr
2021-22-Missouri,2021-22,Missouri,SEC,,,149,149,17,89,21-Nov,14-Jun,7-May,10-Feb,16,49,13-Mar,5-Jan,2-Mar,1-Apr
2021-22-UtahValley,2021-22,Utah Valley,WAC,,,114,114,171,184,18-12,9-Nov,3-Jul,9-Jun,168,122,0-2,4-Feb,5-Jun,1-Oct
2021-22-Xavier,2021-22,Xavier,Big East,,,40,41,16,88,18-13,12-Aug,1-Oct,6-Apr,39,123,8-May,3-Apr,2-May,Apr-00
2021-22-LoyolaChicago,2021-22,Loyola Chicago,MVC,39,AQ,23,23,110,149,24-7,16-5,2-Aug,3-Aug,112,38,2-Mar,4-May,1-Jul,Sep-00
2021-22-UIW,2021-22,UIW,Southland,,,350,350,271,221,24-May,12-Mar,12-Feb,11-Jan,194,50,0-4,0-1,0-5,14-May
2021-22-Bradley,2021-22,Bradley,MVC,,,95,95,123,160,16-14,8-Nov,6-May,8-Apr,118,209,6-Jan,2-Jan,3-Jun,3-Aug
2021-22-Northwestern,2021-22,Northwestern,Big Ten,,,91,91,49,107,14-16,14-Aug,2-Jun,8-Mar,33,272,11-Jan,3-Feb,2-May,Jun-00
2021-22-ClevelandSt.,2021-22,Cleveland St.,Horizon,,,182,182,323,240,18-10,16-7,3-Feb,6-May,340,99,0-2,0-0,6-Jan,17-2
2021-22-NorthCarolina,2021-22,North Carolina,ACC,30,AL,31,32,49,107,24-9,16-6,3-Aug,3-Aug,58,35,8-Mar,Mar-00,13-0,1-May
2021-22-SouthCarolinaSt.,2021-22,South Carolina St.,MEAC,,,305,305,352,255,16-Dec,8-Jul,8-May,8-May,350,319,0-1,0-0,6-Jan,9-Nov
2021-22-OleMiss,2021-22,Ole Miss,SEC,,,109,109,44,105,13-19,15-Apr,4-Sep,7-Feb,52,206,11-Jan,2-May,5-Feb,1-May
2021-22-CoastalCarolina,2021-22,Coastal Carolina,Sun Belt,,,158,158,167,183,13-Dec,9-Aug,4-Apr,5-Apr,280,235,0-0,0-3,6-May,4-Jul
2021-22-PurdueFortWayne,2021-22,Purdue Fort Wayne,Horizon,,,232,232,340,249,19-11,16-7,4-Mar,7-Jun,357,351,0-0,0-1,6-Feb,17-4
2021-22-VCU,2021-22,VCU,Atlantic 10,,,56,56,71,117,21-9,14-5,4-Jul,2-Sep,95,53,3-Mar,5-Mar,1-Nov,Apr-00
2021-22-Kansas,2021-22,Kansas,Big 12,3,AQ,6,6,2,67,28-6,17-4,2-Nov,4-Jun,6,81,5-Dec,1-Aug,May-00,Mar-00
2021-22-UAB,2021-22,UAB,CUSA,48,AQ,46,46,161,178,25-7,17-4,3-Aug,4-Jul,182,204,1-Feb,2-Mar,3-Aug,1-Dec
2021-22-LaSalle,2021-22,La Salle,Atlantic 10,,,226,226,132,167,19-Nov,14-Jun,5-May,10-Feb,138,304,0-3,5-Jan,7-Mar,4-Jul
2021-22-Duquesne,2021-22,Duquesne,Atlantic 10,,,279,279,111,151,24-Jun,17-Jan,7-May,10-Jan,129,317,0-3,6-Jan,8-Feb,7-Mar
2021-22-AustinPeay,2021-22,Austin Peay,OVC,,,288,288,213,201,17-Oct,11-Aug,6-Feb,11-Jun,158,76,5-Jan,0-2,3-Jan,7-Aug
2021-22-Fairfield,2021-22,Fairfield,MAAC,,,209,209,237,211,14-18,13-Sep,5-May,8-Aug,296,327,0-1,0-2,10-Feb,5-Dec
2021-22-NewMexicoSt.,2021-22,New Mexico St.,WAC,50,AQ,79,79,125,164,23-6,15-4,2-Aug,3-Sep,174,146,Feb-00,2-Apr,2-Sep,2-Aug
2021-22-NJIT,2021-22,NJIT,America East,,,332,332,309,236,18-Oct,13-Jun,5-Apr,10-May,251,256,0-3,0-3,2-Jan,10-Sep
2021-22-EasternWash.,2021-22,Eastern Wash.,Big Sky,,,221,221,298,232,16-15,10-Dec,5-Apr,10-Aug,260,73,2-Jan,0-2,4-Feb,13-7
2021-22-Baylor,2021-22,Baylor,Big 12,4,AL,4,4,21,93,26-6,14-5,1-Dec,3-Aug,13,108,5-Oct,1-Aug,Feb-00,Jun-00
2021-22-SFA,2021-22,SFA,WAC,,,117,117,167,183,18-9,14-5,4-Apr,4-Jul,184,97,0-1,3-Feb,4-Aug,1-Aug
2021-22-Rutgers,2021-22,Rutgers,Big Ten,44,AL,77,77,61,112,18-13,9-Dec,4-Jun,9-Apr,35,297,6-Jun,4-Mar,2-Apr,1-May
